repo_name,owner,language,size_bytes,relative_size,created_at,stars
Microsoft-Activation-Scripts,massgravel,Batchfile,1764897,0.9999524074196833,2020-01-12T23:03:34Z,134156
Microsoft-Activation-Scripts,massgravel,HTML,84,4.7592580316728625e-05,2020-01-12T23:03:34Z,134156
hello-algo,krahets,Java,611779,0.20064702523523048,2022-11-04T11:08:34Z,112326
hello-algo,krahets,C++,566078,0.18565832882643699,2022-11-04T11:08:34Z,112326
hello-algo,krahets,Python,502886,0.1649330557806726,2022-11-04T11:08:34Z,112326
hello-algo,krahets,Swift,397708,0.13043750621098965,2022-11-04T11:08:34Z,112326
hello-algo,krahets,Go,334998,0.10987031617586046,2022-11-04T11:08:34Z,112326
hello-algo,krahets,JavaScript,332035,0.10889853202542053,2022-11-04T11:08:34Z,112326
hello-algo,krahets,Ruby,278546,0.09135558149457976,2022-11-04T11:08:34Z,112326
hello-algo,krahets,CMake,21899,0.007182281846265256,2022-11-04T11:08:34Z,112326
hello-algo,krahets,Dockerfile,3102,0.0010173724045442634,2022-11-04T11:08:34Z,112326
excalidraw,excalidraw,TypeScript,5919733,0.9387215526393616,2020-01-02T01:04:43Z,99307
excalidraw,excalidraw,SCSS,159339,0.02526717902243281,2020-01-02T01:04:43Z,99307
excalidraw,excalidraw,MDX,132387,0.020993266113398554,2020-01-02T01:04:43Z,99307
excalidraw,excalidraw,JavaScript,84662,0.013425275107771521,2020-01-02T01:04:43Z,99307
excalidraw,excalidraw,HTML,8004,0.0012692341541967265,2020-01-02T01:04:43Z,99307
excalidraw,excalidraw,CSS,1455,0.000230726598495282,2020-01-02T01:04:43Z,99307
excalidraw,excalidraw,Dockerfile,556,8.816768987173663e-05,2020-01-02T01:04:43Z,99307
excalidraw,excalidraw,Shell,29,4.59867447172727e-06,2020-01-02T01:04:43Z,99307
DeepSeek-V3,deepseek-ai,Python,56764,1.0,2024-12-26T09:52:40Z,96589
Web-Dev-For-Beginners,microsoft,JavaScript,81412,0.7100482308101556,2020-11-10T02:44:00Z,87858
Web-Dev-For-Beginners,microsoft,Vue,11749,0.10247084783310222,2020-11-10T02:44:00Z,87858
Web-Dev-For-Beginners,microsoft,HTML,11056,0.09642673364905763,2020-11-10T02:44:00Z,87858
Web-Dev-For-Beginners,microsoft,CSS,10440,0.09105418770768466,2020-11-10T02:44:00Z,87858
ComfyUI,comfyanonymous,Python,3355394,0.9951700621559763,2023-01-17T03:15:56Z,76396
ComfyUI,comfyanonymous,Jupyter Notebook,15349,0.004552331345896213,2023-01-17T03:15:56Z,76396
ComfyUI,comfyanonymous,Batchfile,936,0.00027760649812749076,2023-01-17T03:15:56Z,76396
gpt4all,nomic-ai,C++,817324,0.5188884317878238,2023-03-27T18:49:32Z,73283
gpt4all,nomic-ai,QML,476639,0.30260027019751845,2023-03-27T18:49:32Z,73283
gpt4all,nomic-ai,Python,119931,0.07613970532218006,2023-03-27T18:49:32Z,73283
gpt4all,nomic-ai,CMake,84613,0.05371762835651851,2023-03-27T18:49:32Z,73283
gpt4all,nomic-ai,JavaScript,50906,0.032318315023896226,2023-03-27T18:49:32Z,73283
